LinkID,LinkType,rmID,anID,Modified,anVersion,anDate,Status,UTCModDate
1,0,1,38173637177:1030:68081704,0,46DA04EE523E5993E9F518DD96EADF16,0.0,0,45165.7132085301
2,0,2,38173637181:1030:68081704,0,1C760797D6B8993B335248CA855C77DC,0.0,0,45165.7132087153
3,0,3,38173637182:1030:68081704,0,7A1280B8DCC3720560156883BA3CE4C2,0.0,0,45165.7132089005
4,0,4,38173637185:1030:68081704,0,A39416A6A66CC8E35958BF2607BE0C6C,0.0,0,45165.7132092593
5,0,5,38173637186:1030:68081704,0,5FA5F9A28FF159DE27676649B437D0CD,0.0,0,45165.7132094329
6,0,6,38173637189:1030:68081704,0,AFB0EBF60D4BFDF854FD7204D4F61FC5,0.0,0,45165.7132094329
7,0,7,38173637191:1030:68081704,0,E049A8400619EE7543B7833D7129E0BB,0.0,0,45165.7132098032
8,0,8,38173637193:1030:68081704,0,FBA9D50853A2E32E6A99EA36C6CC03EF,0.0,0,45165.7132099768
9,0,9,38173637194:1030:68081704,0,F81BE5E35A344152B9D06C96C8B11105,0.0,0,45165.713210162
10,0,10,38173637202:1030:68081704,0,C5FFBB43119FB415BC6CB4146414468F,0.0,0,45165.7132103472
11,0,11,38173637210:1030:68081704,0,378C473E5CF2BFF37B76374ED49C2AC2,0.0,0,45165.7132105208
12,0,12,38173637212:1030:68081704,0,56614BEA3271E45A2B2256D8153AE0BD,0.0,0,45165.713210706
13,0,13,38173637214:1030:68081704,0,A9793B8F7C6E1FC4DCA9892342A8B7A5,0.0,0,45165.7132108796
14,11,1,M-T0627-01118-00161,0,,0.0,0,45165.7132114236
15,4,1,54715831:2442,0,,0.0,0,45165.7132114236
16,4,2,20255243:60901,0,,0.0,0,45165.7132114236
17,4,3,54715831:2442,0,,0.0,0,45165.7132114236
18,4,4,20255243:60901,0,,0.0,0,45165.7132114236
19,4,5,20255243:60901,0,,0.0,0,45165.7132114236
20,4,6,54715831:2442,0,,0.0,0,45165.7132114236
21,0,14,38173637217:1030:68081704,0,EF8B6786C128FF35F87BAF8247F73242,0.0,0,45165.7132114236
22,0,15,38173637222:1030:68081704,0,E38473919CF85C069ED0A4B6C40FB29C,0.0,0,45165.7132114236
23,0,16,38173637224:1030:68081704,0,5D8764D494DEC32425DC79934F4351F5,0.0,0,45165.7132114236
24,0,17,38173637226:1030:68081704,0,EF8A9A319048DD11930BED1D9A007DF6,0.0,0,45165.7132114236
25,0,18,38173637227:1030:68081704,0,986C1AD9C3A68FE0FFF8E9AC105B4613,0.0,0,45165.7132116088
26,0,19,38173637228:1030:68081704,0,AB4358875D1173EFA28E3040B6665814,0.0,0,45165.713211794
27,0,20,38173637229:1030:68081704,0,ED0B43FD1E6DA47C1E8A65960E4D7FA8,0.0,0,45165.7132119792
28,0,21,38173637230:1030:68081704,0,3D0BEA2915190967CA5C1DF97356DF87,0.0,0,45165.7132122569
29,0,22,38173637231:1030:68081704,0,08C52704212F59E6A0C6A03383DD011B,0.0,0,45165.713212338
30,0,23,38173637232:1030:68081704,0,D350C8BA3194B48F148A5E9CE5349F9A,0.0,0,45165.713212338
31,0,24,38173637233:1030:68081704,0,F279C517B68094E6B98F695E58F47AFB,0.0,0,45165.7132125232
32,0,25,38173637234:1030:68081704,0,22E131C5C0813241962C7A49912BAA3E,0.0,0,45165.7132127083
