LinkID,MediaID,OwnerType,OwnerID,IsPrimary,Include1,Include2,Include3,Include4,SortOrder,RectLeft,RectTop,RectRight,RectBottom,Comments,UTCModDate
1,1,4,1,0,0,0,0,0,0,0,0,0,0,,45165.7132114236
2,1,4,3,0,0,0,0,0,0,0,0,0,0,,45165.7132114236
3,1,4,6,0,0,0,0,0,0,0,0,0,0,,45165.7132114236
4,2,4,7,0,0,0,0,0,0,0,0,0,0,,45165.713235162
5,3,4,8,0,0,0,0,0,0,0,0,0,0,,45165.713235162
6,4,4,11,0,0,0,0,0,0,0,0,0,0,,45165.713235162
7,5,4,12,0,0,0,0,0,0,0,0,0,0,,45165.713235162
8,6,4,13,0,0,0,0,0,0,0,0,0,0,,45165.713235162
9,7,4,17,0,0,0,0,0,0,0,0,0,0,,45165.713235162
10,8,4,18,0,0,0,0,0,0,0,0,0,0,,45165.713235162
11,9,4,19,0,0,0,0,0,0,0,0,0,0,,45165.713235162
12,10,4,20,0,0,0,0,0,0,0,0,0,0,,45165.713235162
13,10,4,21,0,0,0,0,0,0,0,0,0,0,,45165.713235162
14,9,4,22,0,0,0,0,0,0,0,0,0,0,,45165.713235162
15,2,4,23,0,0,0,0,0,0,0,0,0,0,,45165.713235162
16,4,4,26,0,0,0,0,0,0,0,0,0,0,,45165.713235162
17,5,4,27,0,0,0,0,0,0,0,0,0,0,,45165.713235162
18,7,4,30,0,0,0,0,0,0,0,0,0,0,,45165.713235162
19,8,4,31,0,0,0,0,0,0,0,0,0,0,,45165.713235162
20,8,4,32,0,0,0,0,0,0,0,0,0,0,,45165.713235162
21,8,4,33,0,0,0,0,0,0,0,0,0,0,,45165.713235162
22,7,4,36,0,0,0,0,0,0,0,0,0,0,,45165.713235162
23,6,4,37,0,0,0,0,0,0,0,0,0,0,,45165.713235162
24,5,4,38,0,0,0,0,0,0,0,0,0,0,,45165.713235162
25,4,4,39,0,0,0,0,0,0,0,0,0,0,,45165.713235162
26,2,4,40,0,0,0,0,0,0,0,0,0,0,,45165.713235162
27,10,4,41,0,0,0,0,0,0,0,0,0,0,,45165.713235162
28,10,4,43,0,0,0,0,0,0,0,0,0,0,,45165.713235162
29,10,4,45,0,0,0,0,0,0,0,0,0,0,,45165.713235162
30,9,4,46,0,0,0,0,0,0,0,0,0,0,,45165.713235162
31,11,0,194,0,0,0,0,0,0,0,0,0,0,,45165.713235162
32,12,0,194,0,0,0,0,0,0,0,0,0,0,,45165.713235162
